order_id,time,total,employee_id
1,10/1/23 18:52,21.7,1
2,10/1/23 19:48,13.4,2
3,10/1/23 19:48,8.3,4
4,10/1/23 19:48,20.1,1
5,10/1/23 19:48,9.8,4
6,10/1/23 19:48,11.5,1
7,10/1/23 19:48,20.2,1
8,10/1/23 19:48,23.4,4
9,10/1/23 19:48,23.8,4
10,10/1/23 17:08,21.7,4
11,10/1/23 17:08,16.5,2
12,10/1/23 17:08,25.3,1
13,10/1/23 17:08,23.8,1
14,10/1/23 17:44,8.5,4
15,10/1/23 13:21,22.7,4
16,10/1/23 13:21,20.2,1
17,10/1/23 19:26,19.6,2
18,10/1/23 19:26,27,4
19,10/1/23 19:26,23.2,1
20,10/1/23 19:26,11.3,1
21,10/1/23 19:26,15.2,2
22,10/1/23 19:26,13.4,2
23,10/1/23 13:19,13.5,2
24,10/1/23 11:39,23.1,2
25,10/1/23 11:39,24.7,4
26,10/1/23 11:39,11.3,1
27,10/1/23 11:39,22.4,1
28,10/1/23 11:39,18.1,1
29,10/1/23 11:39,15.8,1
30,10/1/23 11:39,18.9,2
31,10/1/23 11:39,11.3,1
32,10/1/23 11:39,11.9,2
33,10/1/23 11:39,23.2,4
34,10/1/23 11:39,11.9,4
35,10/1/23 11:39,11.3,2
36,10/1/23 11:39,11.9,1
37,10/1/23 11:39,10.4,2
38,10/1/23 11:39,18.2,1
39,10/1/23 14:44,18.6,2
40,10/1/23 14:44,10.4,1
41,10/1/23 14:44,8.3,4
42,10/1/23 14:44,11.3,4
43,10/1/23 13:54,9.6,1
44,10/1/23 18:18,19.8,4
45,10/1/23 11:46,18.1,4
46,10/1/23 11:46,10.4,1
47,10/1/23 11:46,9.8,2
48,10/1/23 14:04,16.8,4
49,10/1/23 14:04,10.4,1
50,10/1/23 14:04,25.3,2
51,10/1/23 14:04,23.8,4
52,10/1/23 14:04,9.8,1
53,10/1/23 13:49,11.3,1
54,10/1/23 13:49,11.3,4
55,10/1/23 13:49,16.4,1
56,10/1/23 13:49,16.6,4
57,10/1/23 13:49,18.6,4
58,10/1/23 13:49,23.4,4
59,10/1/23 19:18,27,4
60,10/1/23 19:51,9.8,4
61,10/1/23 19:51,20.2,2
62,10/1/23 11:37,10.4,2
63,10/1/23 11:37,11.9,1
64,10/1/23 11:37,11.5,4
65,10/1/23 11:37,17.1,2
66,10/1/23 13:44,10.4,4
